chr	start	end	CpG
chr2	9902712	9902713	0
chr3	108627414	108627415	2
chr2	52299448	52299449	3
chr7	131109373	131109374	4
chr4	135208851	135208852	5
chr2	166196275	166196276	6

chr13	46420012	46420013	172
chr3	149111002	149111003	173
chr2	99261830	99261831	174
chr7	80411375	80411376	175
chr14	56457004	56457005	176
chr1	151124337	151124338	177
chrX	65341598	65341599	178

chr4	51876156	51876157	525
chr2	52493261	52493262	526
chrX	64952831	64952832	527
chr13	110553789	110553790	528
chr4	111987749	111987750	529
chrX	162985305	162985306	531
chr3	51785833	51785834	532
chr19	43219912	43219913	533
chr4	132284536	132284537	534
chr6	138873942	138873943	535
chrX	106995336	106995337	536
chrX	72298252	72298253	538
chr1	174660190	174660191	539
chrX	64944290	64944291	540
chr9	116526765	116526766	541
chr3	108681066	108681067	543
chr3	149093063	149093064	544
chr14	56549924	56549925	545
chr1	26774310	26774311	546
chr8	50760647	50760648	547
chr1	24075558	24075559	548
chr1	191682333	191682334	549
chrX	11867123	11867124	550
chr1	81900908	81900909	551
chr6	115975404	115975405	552
chr2	52483580	52483581	554
chr1	153728276	153728277	555
chrX	62768986	62768987	556
chr3	148763197	148763198	558
chr9	114893194	114893195	559
chr12	109748398	109748399	561
chr13	55469804	55469805	562
chr11	118050292	118050293	563
chr14	63267445	63267446	564
chr1	123306655	123306656	565
chr1	131055774	131055775	566
chrX	42305929	42305930	567
chrX	169411199	169411200	568
chr13	46974430	46974431	570
chr1	189722965	189722966	571
chr11	98994512	98994513	572
chr2	6550164	6550165	576
chr3	148767178	148767179	577
chr4	80565336	80565337	578
chr4	46030162	46030163	579
chr1	36200426	36200427	581
chr2	155995022	155995023	582
chr14	64850212	64850213	584
chr2	99778469	99778470	587
chr13	110576743	110576744	588
chrX	162978656	162978657	590
chr14	27260959	27260960	591
chr4	84101750	84101751	592
chrX	169449767	169449768	593
chr13	46588345	46588346	594
chrX	11708493	11708494	596
chr1	24082452	24082453	598
chr4	135188843	135188844	599
chrX	38451244	38451245	600
chr12	72527555	72527556	604
chr1	131061202	131061203	605
chr8	79373563	79373564	607
chr2	86993356	86993357	608
chr1	131063072	131063073	609
chr4	80568390	80568391	610
chr11	109251432	109251433	611
chr14	56552223	56552224	612
chr1	26725411	26725412	613
chr1	132032499	132032500	616
chr1	123302736	123302737	617
chr12	76530173	76530174	618
chr1	123300525	123300526	620
chr12	27120888	27120889	621
chr2	52500934	52500935	622
chr3	61556214	61556215	624
chrX	162987673	162987674	626
chr3	108677745	108677746	627
chr2	83547103	83547104	628
chr6	119451189	119451190	629
chr7	38263227	38263228	631
chr2	167749636	167749637	632
chr13	101428892	101428893	633
chr13	46571347	46571348	634
chr4	51818621	51818622	637
chr8	7992156	7992157	638
chr13	110518722	110518723	639
chr8	94083200	94083201	640
chr12	109747795	109747796	641
chr11	118057139	118057140	642
chr19	40464624	40464625	643
chr2	83547155	83547156	644
chr11	120108924	120108925	645
chr13	110518724	110518725	646
chr3	101617630	101617631	647
chr14	27253171	27253172	648
chr19	43603554	43603555	649
chr14	27253677	27253678	650
chr7	24445825	24445826	651
chrX	65013729	65013730	652
chrX	106972475	106972476	653
chrX	124153233	124153234	654
chr14	100343087	100343088	655
chr12	104682950	104682951	656
chr2	87282615	87282616	658
chr14	56521212	56521213	661
chr2	167898365	167898366	662
chr3	61443573	61443574	663
chr2	19947604	19947605	664
chr3	159211045	159211046	665
chr3	101608462	101608463	666
chr2	54691244	54691245	667
chrX	65034848	65034849	669
chr2	167897653	167897654	670
chr1	151776558	151776559	1041
chr13	102442694	102442695	1042
chr2	87547031	87547032	1043
chr2	99545490	99545491	1045
chr14	63278610	63278611	1046
chr8	94065190	94065191	1047
chr3	103099304	103099305	1049
chr2	99552114	99552115	1050
chr1	85468304	85468305	952950
chr4	30300202	30300203	952951
chrY	34877186	34877187	952953
