chr	start	end	CpG
chr1	3035862	3035863	0
chr1	3038790	3038791	1
chr1	3038951	3038952	2
chr1	3040554	3040555	3
chr1	3053183	3053184	4
chr1	3055664	3055665	5
chr1	3060269	3060270	6
chr1	3146654	3146655	7
chr1	3151951	3151952	8
chr1	3179052	3179053	9
chr1	3234997	3234998	10
chr1	3238037	3238038	11
chr1	3242984	3242985	12
chr1	3243550	3243551	13
chr1	3279075	3279076	14
chr1	3446300	3446301	15
chr1	3531838	3531839	16
chr1	3537753	3537754	17
chr1	3668112	3668113	18
chr1	3671201	3671202	19
chr1	3722124	3722125	20
chr1	3754585	3754586	21
chr1	3768036	3768037	22
chr1	3770711	3770712	23
chr1	3771980	3771981	24
chr1	3771995	3771996	25
chr1	3792015	3792016	26
chr1	3847055	3847056	27
chr1	3957488	3957489	28
chr1	4012222	4012223	29
chr1	4189649	4189650	30
chr1	4192110	4192111	31
chr1	4226218	4226219	32
chr1	4315961	4315962	33
chr1	4425013	4425014	34
chr1	4480827	4480828	35
chr1	4567470	4567471	36
chr1	4608015	4608016	37
chr1	4680269	4680270	38
chr1	4806572	4806573	39
chr1	4879978	4879979	40
chr1	4936612	4936613	41
chr1	4940751	4940752	42
chr1	5023972	5023973	43
chr1	5039826	5039827	44
chr1	5040404	5040405	45
chr1	5040421	5040422	46
chr1	5046833	5046834	47
chr1	5079829	5079830	48
chr1	5189502	5189503	49
chr1	5189690	5189691	50
chr1	5251925	5251926	51
chr1	5261061	5261062	52
chr1	5268223	5268224	53
chr1	5270316	5270317	54
chr1	5350782	5350783	55
chr1	5350974	5350975	56
chr1	5350998	5350999	57
chr1	5432728	5432729	58
chr1	5742668	5742669	59
chr1	5774398	5774399	60
chr1	5811239	5811240	61
chr1	5916313	5916314	62
chr1	5916428	5916429	63
chr1	5916492	5916493	64
chr1	5998329	5998330	65
chr1	5998934	5998935	66
chr1	5999170	5999171	67
chr1	6009243	6009244	68
chr1	6009625	6009626	69
chr1	6146978	6146979	70
chr1	6147877	6147878	71
chr1	6235572	6235573	72
chr1	6235615	6235616	73
chr1	6435911	6435912	74
chr1	6436147	6436148	75
chr1	6436178	6436179	76
chr1	6441174	6441175	77
chr1	6441289	6441290	78
chr1	6441323	6441324	79
chr1	6441341	6441342	80
chr1	6441372	6441373	81
chr1	6507678	6507679	82
chr1	6537224	6537225	83
chr1	6567421	6567422	84
chr1	6568831	6568832	85
chr1	6618677	6618678	86
chr1	6760839	6760840	87
chr1	6781087	6781088	88
chr1	6904836	6904837	89
chr1	6921642	6921643	90
chr1	7046143	7046144	91
chr1	7046167	7046168	92
chr1	7050669	7050670	93
chr1	7099463	7099464	94
chr1	7105794	7105795	95
chr1	7115162	7115163	96
chr1	7232461	7232462	97
chr1	7232530	7232531	98
chr1	7234476	7234477	99
chr1	7276836	7276837	100
chr1	7287940	7287941	101
